Sample  Condition
SRR1146076 Control
SRR1146085 Control
SRR1146086 Control
SRR1146088 Control
SRR1146096 Control
SRR1146101 Control
SRR1146106 Control
SRR1146107 Control
SRR1146108 Control
SRR1146109 Control
SRR1146111 Control
SRR1146113 Control
SRR1146114 Control
SRR1146115 Control
SRR1146116 Control
SRR1146117 Control
SRR1146118 Control
SRR1146120 Control
SRR1146121 Control
SRR1146122 Control
SRR1146125 Control
SRR1146126 Control
SRR1146127 Control
SRR1146130 Control
SRR1146131 Control
SRR1146137 Control
SRR1146138 Control
SRR1146139 Control
SRR1146142 Control
SRR1146143 Control
SRR1146144 Control
SRR1146145 Control
SRR1146146 Control
SRR1146153 Control
SRR1146166 Control
SRR1146167 Control
SRR1146169 Control
SRR1146170 Control
SRR1146171 Control
SRR1146172 Control
SRR1146173 Control
SRR1146174 Control
SRR1146175 Control
SRR1146176 Control
SRR1146177 Control
SRR1146178 Control
SRR1146179 Control
SRR1146180 Control
SRR1146181 Control
SRR1146182 Control
SRR1146183 Control
SRR1146184 Control
SRR1146185 Control
SRR1146186 Control
SRR1146187 Control
SRR1146188 Control
SRR1146189 Control
SRR1146190 Control
SRR1146191 Control
SRR1146192 Control
SRR1146193 Control
SRR1146194 Control
SRR1146195 Control
SRR1146196 Control
SRR1146197 Control
SRR1146198 Control
SRR1146200 Control
SRR1146201 Control
SRR1146207 Control
SRR1146213 Control
SRR1146230 Control
SRR1146231 Control
SRR1146232 Control
SRR1146236 Control
SRR1146238 Control
SRR1146243 Control
SRR1146244 Control
SRR1146245 Control
SRR1146246 Control
SRR1146247 Control
SRR1146248 Control
SRR1146249 Control
SRR1146250 Control
SRR1146251 Control
SRR1146077 PS
SRR1146078 PS
SRR1146079 PS
SRR1146080 PS
SRR1146081 PS
SRR1146082 PS
SRR1146083 PS
SRR1146084 PS
SRR1146087 PS
SRR1146089 PS
SRR1146090 PS
SRR1146091 PS
SRR1146092 PS
SRR1146093 PS
SRR1146094 PS
SRR1146095 PS
SRR1146097 PS
SRR1146098 PS
SRR1146099 PS
SRR1146100 PS
SRR1146102 PS
SRR1146103 PS
SRR1146104 PS
SRR1146105 PS
SRR1146110 PS
SRR1146112 PS
SRR1146119 PS
SRR1146123 PS
SRR1146124 PS
SRR1146128 PS
SRR1146129 PS
SRR1146132 PS
SRR1146133 PS
SRR1146134 PS
SRR1146135 PS
SRR1146136 PS
SRR1146140 PS
SRR1146141 PS
SRR1146147 PS
SRR1146148 PS
SRR1146149 PS
SRR1146150 PS
SRR1146151 PS
SRR1146152 PS
SRR1146154 PS
SRR1146155 PS
SRR1146156 PS
SRR1146157 PS
SRR1146158 PS
SRR1146159 PS
SRR1146160 PS
SRR1146161 PS
SRR1146162 PS
SRR1146163 PS
SRR1146164 PS
SRR1146165 PS
SRR1146168 PS
SRR1146199 PS
SRR1146202 PS
SRR1146203 PS
SRR1146204 PS
SRR1146205 PS
SRR1146206 PS
SRR1146208 PS
SRR1146209 PS
SRR1146210 PS
SRR1146211 PS
SRR1146212 PS
SRR1146214 PS
SRR1146215 PS
SRR1146217 PS
SRR1146218 PS
SRR1146219 PS
SRR1146220 PS
SRR1146221 PS
SRR1146222 PS
SRR1146223 PS
SRR1146224 PS
SRR1146225 PS
SRR1146226 PS
SRR1146227 PS
SRR1146228 PS
SRR1146229 PS
SRR1146233 PS
SRR1146234 PS
SRR1146235 PS
SRR1146237 PS
SRR1146239 PS
SRR1146240 PS
SRR1146241 PS
SRR1146242 PS
SRR1146252 PS
SRR1146253 PS
SRR1146254 PS
