"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",30.3557616924231,-0.282243352023483,0.116064229380794,-2.43178586140846,0.0150245871272367,0.019866888250113
"A1BG-AS1",25.8029635001281,0.0579626646239346,0.104405927535441,0.555166416238763,0.578780837733364,0.614014781671434
"A2M",8914.1059884041,-0.527213690704264,0.0692115912088593,-7.61741901169842,2.58798182140762e-14,7.56368496613775e-14
"A2M-AS1",24.6231517141579,-0.827902981779585,0.0938763482331197,-8.81907953773068,1.15404445511772e-18,4.16414350514644e-18
"A2ML1",8336.40733112267,2.48970712372714,0.0844696980079285,29.474559308753,6.10106231406224e-191,9.58598910785459e-189
"A4GALT",515.099119397339,-0.765014382682057,0.0957749129408158,-7.98762806659817,1.37559725758685e-15,4.28021706891726e-15
"A4GNT",2.05874361633858,-1.54349450708317,0.247624447795263,-6.23320726538012,4.56980895712241e-10,1.064157551789e-09
"AAAS",532.992406527769,0.128782972608745,0.0412899182677839,3.11899315889969,0.00181470174648759,0.00263342266152034
"AACS",2092.2147014653,-0.961260957098292,0.0652436605949553,-14.7334001239749,3.93403929254538e-49,4.32612159605774e-48
"AACSP1",13.2494727023588,-0.126150157310216,0.148660078330203,-0.848581264904303,0.396114335600802,0.434013140931646
"AADAC",105.857841105632,-0.670241343257237,0.165605710329342,-4.0472115479854,5.18313944648339e-05,8.60497537860809e-05
"AADACL2",641.628943413631,-0.285437028383727,0.096229916616939,-2.96619843826699,0.00301505882041472,0.00429006413337282
"AADACL3",993.578428685385,-4.20193661476896,0.394068357923067,-10.6629637480036,1.5168518440808e-26,7.64459076667872e-26
"AADACL4",2.06364359519326,-2.27933704764302,0.408567681677396,-5.57884813180788,2.4211650758491e-08,5.06677486304489e-08
"AADAT",46.6781422752807,-0.738444333398933,0.0722115614408086,-10.2261233335085,1.51461603882913e-24,7.05575403287572e-24
"AAED1",202.110196862371,0.0384024692946399,0.0622964029717411,0.616447619167676,0.537599133034336,0.574578089507747
"AAGAB",743.775436120033,0.371699483478372,0.0335956814837421,11.063906641044,1.87738383937843e-28,1.01996731965124e-27
"AAK1",964.119090371145,0.372126776164553,0.0449575212707134,8.27729744982554,1.26002204819197e-16,4.12997880949437e-16
"AAMDC",268.005598922488,-1.16360015991581,0.062436838763555,-18.6364361642699,1.62727522908971e-77,3.76883083718419e-76
"AAMP",1918.17069379694,0.0610458350304217,0.0548534504732022,1.1128896086536,0.265755843478637,0.299795793562345
"AAR2",784.490678531667,-0.166097091235917,0.0394089499840419,-4.21470481459606,2.50105091813573e-05,4.26486325746313e-05
"AARD",37.7772287387285,-1.22288573344191,0.136383690704625,-8.96651005060712,3.06058016976554e-19,1.13715086141118e-18
"AARS",1682.33306104395,0.107731956697007,0.038564083209753,2.79358272595369,0.00521276940383652,0.00723576161505049
"AARS2",430.460496822228,0.527882266595974,0.0688508532653521,7.66704029885451,1.76010491755564e-14,5.20217615963773e-14
"AARSD1",362.756374330512,0.124620493364645,0.0440062154525315,2.83188390737827,0.00462746462425367,0.00645937492681892
"AASDH",217.687182858336,-0.122279875744781,0.0564394361343892,-2.16656799075061,0.03026781031556,0.0387043293572237
"AASDHPPT",557.709485799401,0.394328729500675,0.0581672423463175,6.77922338406403,1.20823590235017e-11,3.0630893406683e-11
"AASS",666.63486801311,1.86189422398212,0.0857661323851514,21.7089680064024,1.68805364479652e-104,6.75221457918608e-103
"AATF",1058.87102515366,0.000517005370904678,0.0365649014827952,0.01413938913928,0.988718775602606,0.990180855276895
"AATK",62.2454515303807,-0.794185035612196,0.0985971430048789,-8.05484835978358,7.95774027159278e-16,2.50866804067548e-15
"ABAT",133.002388935126,-0.693612243264582,0.0604354655845613,-11.4769074177824,1.72334920016935e-30,1.0118558532534e-29
"ABCA1",1410.39831451955,0.35073205865697,0.0663728500498069,5.28426997475289,1.26207016129983e-07,2.53291007234095e-07
"ABCA10",102.859231163405,-0.867122424659949,0.140913144758185,-6.15359501165049,7.57459630866263e-10,1.74014588258433e-09
"ABCA11P",97.0701885360067,-0.549598864932923,0.0457791297697766,-12.0054458810567,3.32666139363774e-33,2.15132136223395e-32
"ABCA12",4778.85695411747,1.64975323727006,0.062457382161715,26.4140631606766,9.44628838737515e-154,8.13706596175649e-152
"ABCA13",54.707421009334,-0.594832621376936,0.160129025257082,-3.71470831363615,0.000203438221839283,0.000321279646995198
"ABCA2",1114.80520329065,-0.788887384628228,0.0824925834933282,-9.56313102610044,1.14246968977776e-21,4.69907951983983e-21
"ABCA3",531.356834985501,-1.32439553761732,0.0789627746595078,-16.7724037475657,3.88470545993537e-63,6.43301983415941e-62
"ABCA4",64.7731918327573,-1.18771417953347,0.119848234902097,-9.91015162220537,3.7607501354602e-23,1.64979076748801e-22
"ABCA5",507.94452227152,-0.519295334196067,0.0882525503954211,-5.8841963418545,3.99992776767876e-09,8.79813880134514e-09
"ABCA6",333.981791329373,-0.462091431737081,0.0986238698483552,-4.68539140116482,2.79425429267625e-06,5.09839783613542e-06
"ABCA7",413.125623241383,0.131298758754044,0.0788624139143526,1.66490920372587,0.0959308717231115,0.115333148912947
"ABCA8",927.464236785436,-0.851252807377355,0.0953982533193105,-8.92314877640474,4.53215303537989e-19,1.66875676068356e-18
"ABCA9",350.070300494775,-1.01981788867388,0.109903105296564,-9.27924544008092,1.70682996893766e-20,6.6883760155498e-20
"ABCB1",169.125509340277,-0.431338182568967,0.069616588529096,-6.19591094137988,5.79488877580591e-10,1.34037940827733e-09
"ABCB10",365.943535556633,0.307869464498648,0.0476702931004973,6.45830861265327,1.0587965457347e-10,2.55809621825926e-10
"ABCB11",18.5408392730194,-0.764059443641264,0.118392713842649,-6.45360190540733,1.09222496911811e-10,2.6356184289814e-10
"ABCB4",81.5721651174127,-0.558718046897554,0.0624776982611349,-8.94267974729651,3.7984529541144e-19,1.40254965254384e-18
"ABCB5",28.4140457941513,-1.11420373168544,0.188744642688999,-5.90323368023404,3.5644482444727e-09,7.86670002488412e-09
"ABCB6",599.462409410144,0.726401628278159,0.0684045283369406,10.6192038149889,2.42621610580603e-26,1.21434465642279e-25
"ABCB7",472.480370008329,0.046836126025566,0.0343621881892237,1.36301348935206,0.172878259351086,0.200823860747343
"ABCB8",481.057167348546,0.437798798888834,0.0752511463059972,5.81783561287682,5.96144849318101e-09,1.29522863805129e-08
"ABCB9",67.2898967989953,-0.365714633398851,0.0786786634088057,-4.6482059754706,3.34834472942704e-06,6.06487969067113e-06
"ABCC1",1929.3699924898,1.18591854551941,0.0514343755019847,23.0569251389793,1.25348498423689e-117,6.36135532052005e-116
"ABCC10",322.098100829349,0.264422189053211,0.056866726883925,4.64985772071853,3.32164094107338e-06,6.01817602238756e-06
"ABCC11",11.6290973758542,-0.819167161316511,0.152050707245128,-5.38746038185732,7.14602208699402e-08,1.45438211179857e-07
"ABCC2",40.1120397274792,0.628415245522597,0.085848629112741,7.32003821164492,2.47900355704613e-13,6.8645270042781e-13
"ABCC3",510.662562808496,-0.943028953206911,0.0684682054443225,-13.7732389375061,3.69278543880333e-43,3.30415972747597e-42
"ABCC4",317.537341319105,-0.380240295683309,0.0582178294593435,-6.53133755096195,6.5184899585125e-11,1.59034959981597e-10
"ABCC5",566.534836668683,0.44537256949248,0.0587348993970695,7.5827587016298,3.38283650508019e-14,9.83551576014433e-14
"ABCC6",22.1308004097767,-0.822679156751743,0.11708856414958,-7.02612729711823,2.12344745116019e-12,5.60469129697435e-12
"ABCC6P2",2.01049748557634,-0.769183443150146,0.319756584967082,-2.40552807764485,0.0161491109386195,0.0212850505895233
"ABCC8",7.52969921977089,-1.63031784780966,0.20572601821123,-7.92470423520144,2.28689992411889e-15,7.0454454132855e-15
"ABCC9",954.972063206279,-0.729880843174309,0.102303526253869,-7.13446417636758,9.71649161287364e-13,2.60734930013442e-12
