"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",8336.40733112267,2.48970712372714,0.0844696980079285,29.474559308753,6.10106231406224e-191,9.58598910785459e-189
"AASS",666.63486801311,1.86189422398212,0.0857661323851514,21.7089680064024,1.68805364479652e-104,6.75221457918608e-103
"ABCA12",4778.85695411747,1.64975323727006,0.062457382161715,26.4140631606766,9.44628838737515e-154,8.13706596175649e-152
"ABCC1",1929.3699924898,1.18591854551941,0.0514343755019847,23.0569251389793,1.25348498423689e-117,6.36135532052005e-116
"ABCG4",124.664119806511,4.67502842666678,0.128922552859187,36.2623010713492,6.35942668395145e-288,3.20254205314888e-285
"ABHD17C",675.155491659797,1.33013057086212,0.0547750213398223,24.2835244665637,2.92707515845683e-130,1.81923278835735e-128
"AC005264.2",5.34643548629533,1.46772671500053,0.155660813605875,9.42900580435571,4.13994253789429e-21,1.66581584602016e-20
"AC007163.3",3.15885770859191,4.12784142411575,0.299699948875575,13.7732470078915,3.69237284734729e-43,3.30415972747597e-42
"AC009299.3",94.1849669453228,1.54787262075535,0.0816960880291724,18.9467165209016,4.70010774299352e-80,1.14956557997998e-78
"AC093391.2",15.8807989390143,1.16003290697107,0.0967758267791872,11.9868044074468,4.16671411233395e-33,2.68573236515388e-32
"ACE2",38.1061382573583,1.34726459887252,0.105818520254381,12.7318412281119,3.93450015518279e-37,2.90830195889311e-36
"ACKR2",227.727674011253,2.24094944413198,0.0915612888682799,24.4748569163964,2.73688812608085e-132,1.75661708484405e-130
"ACOT11",113.078203883613,1.33527672359168,0.0957405538945599,13.9468247182091,3.28926604512741e-44,3.0762469107763e-43
"ACP5",1188.02598029528,1.04372255760243,0.0735432157840358,14.1919624601049,1.02742742615749e-45,1.0129856751874e-44
"ACPP",1314.78278429501,1.2930461404024,0.0618465399498029,20.9073319453584,4.59203574054935e-97,1.62207881194945e-95
"ACRV1",6.84285676679813,2.77094840273784,0.181275570435288,15.2858346885027,9.50374586429466e-53,1.16731437632737e-51
"ACTR3C",40.9712393113677,1.29272322288011,0.0710003545493973,18.2072784155003,4.51857339584686e-74,9.79522974552234e-73
"ADAM12",131.118865098782,1.17970508502342,0.102262090475455,11.536093967359,8.67769366120882e-31,5.1551694950436e-30
"ADAM19",297.124629303708,1.25076375951585,0.0686659366609376,18.2151998550889,3.90987225490056e-74,8.49445697856714e-73
"ADAM23",203.536913039437,1.9245681759925,0.0867541011340752,22.1841751667527,4.88304466904937e-109,2.11706395806026e-107
"ADAM8",205.293741792157,1.02622178624141,0.0853317815802979,12.0262552502286,2.58627422842168e-33,1.67583061188392e-32
"ADAMDEC1",186.461041628833,4.33109267951793,0.14330643572843,30.2225971743899,1.19584798467799e-200,2.25831292491112e-198
"ADAMTS4",120.33221610395,2.48532357294961,0.119696959051874,20.7634646079231,9.26408546946074e-96,3.19765621476641e-94
"ADAP2",647.34004061543,2.19973845360448,0.057716671042365,38.1127049408279,0,0
"ADCYAP1",34.6640021503733,2.7411871553002,0.304652556860898,8.99774872577816,2.30393403653247e-19,8.60088661423641e-19
"ADH7",63.4469467634054,3.24097837048008,0.137981655310548,23.4884728929058,5.34999900884884e-122,2.9268518254538e-120
"ADM2",34.3579071375838,1.17093199025997,0.103480544235206,11.3154796286972,1.0999909279176e-29,6.2911537053878e-29
"AEN",354.17921418607,1.45260343323811,0.0647021677590365,22.4506146169305,1.26214591190153e-111,5.79171628732383e-110
"AFAP1L2",1195.52393585498,1.22811082105572,0.0520449610379555,23.5971128916799,4.12635477839587e-123,2.29579625630864e-121
"AGAP2",228.527787197162,1.55357995961358,0.0772705624243812,20.1057156939158,6.57649831911388e-90,2.00251824786661e-88
"AGMAT",11.9767999014945,1.21010446243266,0.0949219072003382,12.7484212878136,3.1812234976461e-37,2.35948751864688e-36
"AIM2",32.2962821760395,2.88528080135382,0.126997165390791,22.7192535555841,2.89078293168045e-114,1.38475553117571e-112
"AKR1B10",1856.87860351789,6.22602256308135,0.114524314759133,54.3641983466646,0,0
"AKR1B15",127.356050131087,5.03419536258824,0.12167419962021,41.3743865034808,0,0
"ALDH1A3",710.557719468574,2.08981630141342,0.113572756271219,18.400683139386,1.29719061695854e-75,2.89838722605981e-74
"ALDH4A1",984.261943202116,1.22728685860558,0.0789671164998993,15.5417458937753,1.80984872971311e-54,2.33237723435469e-53
"ALOX12B",4452.00225922378,2.30019908753315,0.0931803549800113,24.6854510054891,1.53267877514762e-134,1.03088394328422e-132
"ALPL",183.706829312464,1.19532203521162,0.0944263658542566,12.6587741082459,1.00049460181137e-36,7.29388046754836e-36
"AMER2",5.45015637481988,1.02979967044083,0.22393679995289,4.59861742535155,4.25303972340955e-06,7.64643904867847e-06
"AMMECR1",898.812772327972,1.63105475042655,0.0593942046524598,27.461513458603,5.06252917986268e-166,5.34559532755393e-164
"AMN",29.8191054915992,1.03110831632273,0.133780595493473,7.70745796518028,1.28348560315204e-14,3.82339712511848e-14
"AMPD3",796.82621128123,1.25261479855689,0.060587131881037,20.6746013496133,5.86492710813142e-95,1.98256744240449e-93
"ANGPTL4",559.464145536709,1.62804686931737,0.123135132804456,13.2216275910692,6.58240043389166e-40,5.33766905539357e-39
"ANKK1",115.462196705393,1.22691240939006,0.10081242222028,12.1702502763915,4.47707649643714e-34,2.97562715363876e-33
"ANKRD31",22.494548544099,2.44861329831062,0.130269074239304,18.7965817106562,8.05427777867152e-79,1.91740624937101e-77
"ANKRD34B",2.37938566903682,3.99674115072984,0.281798751955974,14.1829625681034,1.16809225545929e-45,1.14878977953032e-44
"ANLN",626.152458986603,1.17510041318112,0.0790457312440303,14.8660831481633,5.47226219342772e-50,6.15551142490953e-49
"ANXA2P3",17.7195256177683,1.10053806666258,0.196755568282675,5.59342780622837,2.22629820941041e-08,4.66643509421776e-08
"AP1S3",119.804814126838,1.18397067003692,0.0788243832266118,15.0203607256035,5.40129767518875e-51,6.27701102607734e-50
"APELA",39.6844653931443,1.36900606087997,0.135451100625887,10.107013191876,5.14282676555675e-24,2.33591854013725e-23
"APOBEC3A",59.3895123941828,4.79357177170536,0.21881952317415,21.9065086248741,2.25198400025071e-106,9.45063371045382e-105
"APOBEC3B",101.259514803698,1.42281485566249,0.0892989097544693,15.9331716319333,3.72950527425796e-57,5.17284488604706e-56
"APOL1",1421.61245627811,2.61244025624355,0.0933116911588434,27.9969232558054,1.77113817977359e-172,1.9877230771859e-170
"APOL2",873.613749966489,1.36760370583672,0.0608480553000709,22.4757175737567,7.17349835267195e-112,3.33067393963303e-110
"APOL6",1819.06403327695,2.02639229038727,0.0720383752932904,28.1293447018648,4.28844838020268e-174,4.95441918748121e-172
"AREG",101.032181311995,1.86226699730755,0.108816802596903,17.1137816299021,1.1714110960074e-65,2.08581268590981e-64
"ARG1",4381.81817443191,2.44979656489511,0.094453735644424,25.9364708889598,2.58418490692298e-148,2.07156700293744e-146
"ARHGAP11A",366.302485610129,1.26416994975453,0.0654026134461635,19.3290433385378,3.06039954360237e-83,8.10057237686664e-82
"ARHGAP11B",16.1520698002768,1.01470288594717,0.139129386284216,7.29323195514076,3.02606438361093e-13,8.34014938171748e-13
"ARL11",46.7968068456203,1.43955736191551,0.0584175910602546,24.6425320830275,4.42514678340462e-134,2.93614469006982e-132
"ARL14",3.60273060058291,3.15493898487248,0.282845002919722,11.1543034252153,6.82250400192212e-29,3.77873600106459e-28
"ARL5B",800.201582408645,1.32147542300222,0.0904239151269496,14.6142248004518,2.27933992500743e-48,2.45160110225333e-47
"ARNTL2",1380.61693604937,2.1680883540661,0.0574559011767085,37.7348246161527,0,0
